timestamp,soil_moisture,soil_temp_C,soil_EC_dS_m,soil_pH,air_temp_C,rain_last_24h_mm,forecast_rain_24h_mm,crop_stage,root_zone_depth_m,field_capacity,wilting_point,root_zone_deficit_mm,IrrigateTomorrow
2025-01-02 07:00:00,0.294,19.88,0.59,6.13,38.1,0.1,1.0,flowering,0.3,0.28,0.12,-4.2,0
2025-01-02 08:00:00,0.219,22.32,0.65,6.32,14.7,2.0,0.3,vegetative,0.3,0.28,0.12,18.2,0
2025-01-02 09:00:00,0.178,20.62,0.87,6.42,25.7,1.2,1.0,vegetative,0.6,0.32,0.14,85.4,1
2025-01-02 10:00:00,0.253,16.21,0.59,7.0,27.9,0.5,1.5,vegetative,0.3,0.28,0.12,8.1,0
2025-01-02 11:00:00,0.171,12.92,0.76,7.16,24.6,4.9,0.5,flowering,0.3,0.28,0.12,32.7,1
2025-01-02 12:00:00,0.228,19.43,0.74,6.6,23.4,0.9,0.2,vegetative,0.3,0.28,0.12,15.5,0
2025-01-02 13:00:00,0.142,26.49,0.7,6.5,19.4,1.1,0.1,vegetative,0.3,0.28,0.12,41.5,1
2025-01-02 14:00:00,0.167,28.28,0.75,6.4,26.4,1.1,0.7,flowering,0.3,0.28,0.12,33.9,1
2025-01-02 15:00:00,0.228,27.94,0.58,6.75,32.5,0.3,1.2,maturity,0.3,0.28,0.12,15.6,0
2025-01-02 16:00:00,0.25,17.92,0.87,7.16,31.9,0.7,0.2,maturity,0.3,0.28,0.12,9.1,0
2025-01-02 17:00:00,0.227,16.23,0.89,7.04,24.2,0.2,0.5,vegetative,0.3,0.28,0.12,15.9,0
2025-01-02 18:00:00,0.215,24.48,0.7,6.84,29.1,0.7,0.8,flowering,0.3,0.28,0.12,19.4,0
2025-01-02 19:00:00,0.208,25.18,0.94,6.84,34.8,0.0,0.2,maturity,0.3,0.28,0.12,21.6,0
2025-01-02 20:00:00,0.161,24.0,0.66,6.75,20.4,0.5,0.3,maturity,0.3,0.28,0.12,35.7,1
2025-01-02 21:00:00,0.191,11.93,0.74,6.49,27.2,0.5,0.9,vegetative,0.3,0.28,0.12,26.6,1
2025-01-02 22:00:00,0.202,17.67,0.84,6.28,29.4,0.3,1.3,vegetative,0.6,0.32,0.14,71.1,1
2025-01-02 23:00:00,0.262,21.85,0.65,6.49,28.1,0.1,1.0,maturity,0.3,0.28,0.12,5.3,0
2025-01-03 00:00:00,0.234,24.44,0.56,6.63,32.3,1.5,1.3,vegetative,0.6,0.32,0.14,51.8,0
2025-01-03 01:00:00,0.149,25.84,0.54,6.06,20.5,0.5,0.9,flowering,0.6,0.32,0.14,102.3,1
2025-01-03 02:00:00,0.233,22.72,0.91,6.45,23.0,1.7,1.8,maturity,0.6,0.32,0.14,52.2,0
2025-01-03 03:00:00,0.205,23.65,0.65,6.25,31.4,1.8,1.8,flowering,0.6,0.32,0.14,69.2,1
2025-01-03 04:00:00,0.193,22.42,0.68,6.8,19.5,0.2,1.6,flowering,0.6,0.32,0.14,76.2,1
2025-01-03 05:00:00,0.244,25.43,0.59,6.34,32.1,0.5,0.9,vegetative,0.6,0.32,0.14,45.3,0
2025-01-03 06:00:00,0.261,23.56,0.79,6.6,30.2,1.3,5.1,vegetative,0.6,0.32,0.14,35.3,0
2025-01-03 07:00:00,0.257,22.33,0.62,6.29,31.7,0.7,0.0,flowering,0.3,0.28,0.12,6.8,0
2025-01-03 08:00:00,0.186,20.66,0.65,6.98,25.7,1.9,0.2,flowering,0.6,0.32,0.14,80.1,1
2025-01-03 09:00:00,0.208,22.41,0.73,5.99,30.5,0.8,1.7,vegetative,0.6,0.32,0.14,67.4,1
2025-01-03 10:00:00,0.233,24.42,0.59,6.64,22.1,1.0,1.8,vegetative,0.3,0.28,0.12,14.0,0
2025-01-03 11:00:00,0.259,23.34,0.68,6.12,25.9,1.5,1.7,vegetative,0.6,0.32,0.14,36.6,0
2025-01-03 12:00:00,0.201,23.9,0.84,6.35,28.2,0.1,2.1,flowering,0.6,0.32,0.14,71.5,1
2025-01-03 13:00:00,0.213,28.71,0.74,6.56,23.5,0.9,0.5,flowering,0.3,0.28,0.12,20.2,0
2025-01-03 14:00:00,0.176,23.33,0.71,6.58,29.1,0.1,2.7,vegetative,0.3,0.28,0.12,31.3,1
2025-01-03 15:00:00,0.172,18.76,0.72,6.57,22.3,0.3,0.2,vegetative,0.3,0.28,0.12,32.4,1
2025-01-03 16:00:00,0.253,26.42,0.66,6.55,29.3,0.2,2.8,flowering,0.6,0.32,0.14,40.5,0
2025-01-03 17:00:00,0.274,15.17,0.9,6.31,36.7,0.8,0.8,vegetative,0.3,0.28,0.12,1.7,0
2025-01-03 18:00:00,0.217,16.59,0.62,6.45,21.7,1.9,0.2,vegetative,0.6,0.32,0.14,61.7,1
2025-01-03 19:00:00,0.26,23.68,0.72,6.51,27.9,0.1,1.3,vegetative,0.3,0.28,0.12,6.0,0
2025-01-03 20:00:00,0.234,24.58,0.71,6.56,19.9,1.5,0.4,maturity,0.3,0.28,0.12,13.7,0
2025-01-03 21:00:00,0.194,15.77,0.8,6.48,23.8,0.2,0.2,vegetative,0.6,0.32,0.14,75.5,1
2025-01-03 22:00:00,0.234,20.09,0.81,6.72,31.5,0.2,0.2,flowering,0.3,0.28,0.12,13.7,0
2025-01-03 23:00:00,0.282,18.97,0.7,6.53,25.8,2.5,0.0,vegetative,0.6,0.32,0.14,23.1,0
2025-01-04 00:00:00,0.219,19.57,0.73,6.56,31.7,0.0,1.4,vegetative,0.6,0.32,0.14,60.9,1
2025-01-04 01:00:00,0.283,26.72,0.73,6.39,29.8,0.2,0.7,flowering,0.3,0.28,0.12,-0.8,0
2025-01-04 02:00:00,0.115,25.53,0.47,6.18,27.7,0.2,3.9,vegetative,0.6,0.32,0.14,122.9,1
2025-01-04 03:00:00,0.253,21.9,0.54,6.55,22.9,0.3,0.6,maturity,0.3,0.28,0.12,8.1,0
2025-01-04 04:00:00,0.223,19.27,0.64,6.86,31.4,0.5,1.9,flowering,0.3,0.28,0.12,17.0,0
2025-01-04 05:00:00,0.208,15.25,0.64,6.63,29.5,0.1,3.4,maturity,0.3,0.28,0.12,21.6,0
2025-01-04 06:00:00,0.224,29.1,0.58,6.25,20.4,0.6,0.0,flowering,0.6,0.32,0.14,57.8,1
2025-01-04 07:00:00,0.14,24.96,0.77,6.74,23.2,0.5,0.1,vegetative,0.6,0.32,0.14,107.7,1
2025-01-04 08:00:00,0.211,18.47,0.7,6.4,14.2,1.0,0.4,flowering,0.3,0.28,0.12,20.6,0
2025-01-04 09:00:00,0.234,25.6,0.68,6.71,21.2,2.0,2.0,vegetative,0.3,0.28,0.12,13.7,0
2025-01-04 10:00:00,0.279,21.65,0.57,6.39,26.4,0.4,1.8,vegetative,0.6,0.32,0.14,24.5,0
2025-01-04 11:00:00,0.199,20.56,0.7,6.61,22.7,0.8,0.5,flowering,0.3,0.28,0.12,24.2,1
2025-01-04 12:00:00,0.188,24.18,0.44,6.34,23.8,0.5,0.2,vegetative,0.3,0.28,0.12,27.7,1
2025-01-04 13:00:00,0.2,18.29,0.68,6.35,35.0,0.0,1.6,vegetative,0.6,0.32,0.14,72.0,1
2025-01-04 14:00:00,0.257,20.28,0.71,6.03,33.1,1.7,0.9,flowering,0.3,0.28,0.12,7.0,0
2025-01-04 15:00:00,0.233,22.61,0.72,6.65,24.5,1.0,0.0,flowering,0.3,0.28,0.12,14.1,0
2025-01-04 16:00:00,0.199,19.5,0.54,6.61,32.0,0.0,1.6,maturity,0.6,0.32,0.14,72.7,1
2025-01-04 17:00:00,0.241,25.35,0.72,6.63,34.1,0.3,3.1,flowering,0.3,0.28,0.12,11.8,0
2025-01-04 18:00:00,0.224,31.35,0.6,6.58,31.1,0.4,0.0,vegetative,0.6,0.32,0.14,57.7,1
2025-01-04 19:00:00,0.259,18.23,0.62,6.27,29.5,1.7,0.3,maturity,0.3,0.28,0.12,6.4,0
2025-01-04 20:00:00,0.192,13.67,0.77,6.79,33.5,1.4,1.7,maturity,0.3,0.28,0.12,26.4,1
2025-01-04 21:00:00,0.207,11.99,0.9,6.8,31.8,0.5,0.9,flowering,0.6,0.32,0.14,67.9,1
2025-01-04 22:00:00,0.204,21.25,0.71,6.26,21.9,0.2,4.5,flowering,0.3,0.28,0.12,22.7,0
2025-01-04 23:00:00,0.161,18.68,0.62,6.66,27.1,0.5,2.5,vegetative,0.6,0.32,0.14,95.1,1
2025-01-05 00:00:00,0.232,23.04,0.72,6.76,25.2,1.7,0.2,maturity,0.6,0.32,0.14,52.9,0
2025-01-05 01:00:00,0.23,22.66,0.79,6.36,33.8,0.6,1.1,vegetative,0.6,0.32,0.14,53.7,0
2025-01-05 02:00:00,0.22,13.98,0.76,6.41,25.1,0.1,1.1,flowering,0.6,0.32,0.14,59.9,1
2025-01-05 03:00:00,0.211,12.93,0.97,6.66,24.2,0.0,0.1,vegetative,0.6,0.32,0.14,65.6,1
2025-01-05 04:00:00,0.163,23.48,0.63,6.05,33.1,0.4,0.1,vegetative,0.3,0.28,0.12,35.0,1
2025-01-05 05:00:00,0.203,22.68,0.73,6.17,29.3,0.2,0.8,vegetative,0.3,0.28,0.12,23.0,0
2025-01-05 06:00:00,0.206,19.87,0.85,6.2,38.6,1.4,0.5,vegetative,0.6,0.32,0.14,68.2,1
2025-01-05 07:00:00,0.188,13.71,0.85,5.96,23.7,0.3,0.8,flowering,0.6,0.32,0.14,79.3,1
2025-01-05 08:00:00,0.214,24.36,0.5,6.83,25.4,2.1,0.3,maturity,0.3,0.28,0.12,19.9,0
2025-01-05 09:00:00,0.236,28.36,0.7,5.9,33.6,1.0,0.8,vegetative,0.3,0.28,0.12,13.2,0
2025-01-05 10:00:00,0.295,23.39,0.85,6.6,21.6,0.5,0.5,flowering,0.6,0.32,0.14,14.7,0
2025-01-05 11:00:00,0.227,17.76,0.99,6.74,34.6,0.9,2.2,flowering,0.6,0.32,0.14,55.8,1
2025-01-05 12:00:00,0.23,22.22,0.77,6.41,22.0,0.3,0.4,vegetative,0.3,0.28,0.12,14.9,0
2025-01-05 13:00:00,0.217,15.17,0.66,6.3,31.1,0.2,2.0,maturity,0.3,0.28,0.12,18.9,0
2025-01-05 14:00:00,0.143,27.29,0.6,6.57,18.8,3.3,0.5,vegetative,0.3,0.28,0.12,41.0,1
2025-01-05 15:00:00,0.219,22.41,0.92,6.5,28.2,0.8,0.9,maturity,0.3,0.28,0.12,18.3,0
2025-01-05 16:00:00,0.222,13.16,0.77,6.8,21.2,0.0,0.3,maturity,0.3,0.28,0.12,17.3,0
2025-01-05 17:00:00,0.319,20.5,0.62,5.71,37.6,0.4,1.7,vegetative,0.3,0.28,0.12,-11.6,0
2025-01-05 18:00:00,0.212,24.32,0.68,6.22,22.6,0.2,1.9,maturity,0.3,0.28,0.12,20.3,0
2025-01-05 19:00:00,0.232,20.33,0.73,6.67,23.9,0.3,1.7,flowering,0.3,0.28,0.12,14.4,0
2025-01-05 20:00:00,0.219,20.62,0.75,6.52,30.7,0.1,1.0,maturity,0.6,0.32,0.14,60.8,1
2025-01-05 21:00:00,0.173,15.88,0.61,6.73,25.0,0.3,0.4,vegetative,0.6,0.32,0.14,88.0,1
2025-01-05 22:00:00,0.266,24.83,0.64,6.58,31.5,1.1,1.0,maturity,0.3,0.28,0.12,4.3,0
2025-01-05 23:00:00,0.25,18.76,0.53,6.46,24.4,1.7,3.2,flowering,0.3,0.28,0.12,9.0,0
2025-01-06 00:00:00,0.252,11.22,0.8,6.41,24.1,0.4,1.0,flowering,0.6,0.32,0.14,41.0,0
2025-01-06 01:00:00,0.184,20.14,0.67,7.2,27.9,0.7,3.1,flowering,0.3,0.28,0.12,28.9,1
2025-01-06 02:00:00,0.276,26.91,0.75,6.96,21.9,0.0,0.4,flowering,0.3,0.28,0.12,1.2,0
2025-01-06 03:00:00,0.164,20.07,0.84,6.65,30.0,0.1,1.9,vegetative,0.3,0.28,0.12,34.8,1
2025-01-06 04:00:00,0.243,30.69,0.72,6.52,32.4,0.8,1.3,maturity,0.3,0.28,0.12,11.0,0
2025-01-06 05:00:00,0.308,24.14,0.69,6.66,30.8,1.8,1.7,vegetative,0.6,0.32,0.14,7.4,0
2025-01-06 06:00:00,0.18,23.69,0.72,6.75,31.2,0.1,1.2,maturity,0.3,0.28,0.12,29.9,1
2025-01-06 07:00:00,0.197,21.36,0.71,6.63,18.4,0.5,0.7,vegetative,0.6,0.32,0.14,73.6,1
2025-01-06 08:00:00,0.224,21.66,0.82,6.27,25.7,3.5,1.2,maturity,0.6,0.32,0.14,57.6,1
2025-01-06 09:00:00,0.2,20.68,0.73,7.04,26.9,1.3,2.7,maturity,0.3,0.28,0.12,24.0,1
2025-01-06 10:00:00,0.158,20.49,0.65,6.57,35.3,0.2,0.5,vegetative,0.6,0.32,0.14,97.2,1
2025-01-06 11:00:00,0.223,24.65,0.8,7.1,25.1,0.3,3.0,flowering,0.6,0.32,0.14,58.4,1
2025-01-06 12:00:00,0.178,17.32,0.82,6.56,16.5,3.0,0.1,vegetative,0.6,0.32,0.14,85.5,1
2025-01-06 13:00:00,0.239,16.62,0.57,6.43,23.0,0.2,0.0,vegetative,0.3,0.28,0.12,12.3,0
2025-01-06 14:00:00,0.183,16.38,0.85,6.92,24.7,0.6,0.7,vegetative,0.3,0.28,0.12,29.0,1
2025-01-06 15:00:00,0.282,32.23,0.74,6.59,17.2,0.4,1.9,vegetative,0.3,0.28,0.12,-0.6,0
2025-01-06 16:00:00,0.189,24.65,0.73,6.54,32.8,0.7,0.3,maturity,0.3,0.28,0.12,27.4,1
2025-01-06 17:00:00,0.207,23.52,0.8,6.14,20.2,0.3,1.2,vegetative,0.6,0.32,0.14,67.7,1
2025-01-06 18:00:00,0.253,16.71,0.64,6.7,30.2,1.1,0.8,vegetative,0.6,0.32,0.14,40.5,0
2025-01-06 19:00:00,0.171,25.12,0.8,6.35,22.5,0.3,0.3,flowering,0.6,0.32,0.14,89.5,1
2025-01-06 20:00:00,0.229,21.42,0.66,6.37,35.5,0.9,0.3,maturity,0.6,0.32,0.14,54.5,1
2025-01-06 21:00:00,0.272,23.07,0.55,6.35,26.6,0.4,0.1,vegetative,0.3,0.28,0.12,2.3,0
2025-01-06 22:00:00,0.156,17.12,0.6,6.63,25.6,0.3,0.8,vegetative,0.6,0.32,0.14,98.6,1
2025-01-06 23:00:00,0.227,22.8,0.76,6.04,30.6,1.2,0.6,flowering,0.6,0.32,0.14,55.6,1
2025-01-07 00:00:00,0.23,19.88,0.61,6.44,23.0,3.4,0.3,maturity,0.3,0.28,0.12,14.9,0
2025-01-07 01:00:00,0.251,18.17,0.86,6.79,30.9,2.0,3.5,maturity,0.6,0.32,0.14,41.2,0
2025-01-07 02:00:00,0.171,25.67,0.82,6.13,25.6,0.1,1.7,flowering,0.3,0.28,0.12,32.8,1
2025-01-07 03:00:00,0.167,14.31,0.83,6.55,25.0,0.6,0.7,vegetative,0.3,0.28,0.12,33.8,1
2025-01-07 04:00:00,0.241,24.82,0.71,6.31,27.6,1.2,0.7,flowering,0.3,0.28,0.12,11.7,0
2025-01-07 05:00:00,0.232,25.42,0.73,6.38,22.6,0.8,0.2,maturity,0.3,0.28,0.12,14.4,0
2025-01-07 06:00:00,0.23,17.6,0.58,7.0,27.0,1.3,1.0,maturity,0.6,0.32,0.14,54.0,0
2025-01-07 07:00:00,0.234,17.9,0.8,6.0,29.7,3.7,3.1,vegetative,0.3,0.28,0.12,13.8,0
2025-01-07 08:00:00,0.193,20.88,0.74,6.73,16.5,0.4,2.3,vegetative,0.3,0.28,0.12,26.2,1
2025-01-07 09:00:00,0.229,23.41,0.76,6.36,33.5,1.5,0.1,vegetative,0.6,0.32,0.14,54.4,1
2025-01-07 10:00:00,0.232,21.24,0.87,6.34,32.1,0.1,0.1,flowering,0.6,0.32,0.14,53.0,0
2025-01-07 11:00:00,0.191,24.17,0.64,6.17,18.7,2.0,3.3,flowering,0.6,0.32,0.14,77.1,1
2025-01-07 12:00:00,0.295,30.81,0.69,6.73,17.9,1.5,0.2,vegetative,0.6,0.32,0.14,15.2,0
2025-01-07 13:00:00,0.239,19.46,0.73,6.44,32.2,0.7,0.8,vegetative,0.3,0.28,0.12,12.3,0
2025-01-07 14:00:00,0.172,13.42,0.61,6.4,31.8,1.7,0.1,maturity,0.6,0.32,0.14,88.6,1
2025-01-07 15:00:00,0.246,26.13,0.68,6.53,31.1,1.1,1.9,vegetative,0.6,0.32,0.14,44.2,0
2025-01-07 16:00:00,0.181,30.42,0.75,6.45,20.9,0.8,0.1,flowering,0.3,0.28,0.12,29.7,1
2025-01-07 17:00:00,0.251,23.96,0.67,5.9,37.1,2.9,1.0,vegetative,0.3,0.28,0.12,8.6,0
2025-01-07 18:00:00,0.266,16.56,0.83,6.35,24.2,0.1,0.1,flowering,0.6,0.32,0.14,32.2,0
2025-01-07 19:00:00,0.187,21.38,0.55,6.77,29.2,5.0,0.2,vegetative,0.3,0.28,0.12,27.8,1
2025-01-07 20:00:00,0.259,16.41,0.81,6.05,29.3,0.2,0.7,flowering,0.6,0.32,0.14,36.9,0
2025-01-07 21:00:00,0.237,25.21,0.77,6.17,36.0,0.7,0.0,flowering,0.3,0.28,0.12,13.0,0
2025-01-07 22:00:00,0.253,15.24,0.64,6.37,28.6,0.3,0.2,maturity,0.6,0.32,0.14,40.3,0
2025-01-07 23:00:00,0.296,20.5,0.61,6.28,30.1,0.3,0.1,flowering,0.6,0.32,0.14,14.5,0
2025-01-08 00:00:00,0.21,16.98,0.49,6.49,27.6,1.0,0.0,flowering,0.6,0.32,0.14,65.9,1
2025-01-08 01:00:00,0.19,22.63,0.62,6.17,22.0,0.0,3.5,vegetative,0.6,0.32,0.14,78.1,1
2025-01-08 02:00:00,0.184,20.17,0.8,6.38,16.4,2.8,0.6,maturity,0.3,0.28,0.12,28.7,1
2025-01-08 03:00:00,0.187,22.88,0.69,6.49,28.2,0.3,2.0,flowering,0.3,0.28,0.12,27.8,1
2025-01-08 04:00:00,0.217,22.11,0.82,6.69,20.9,0.3,0.4,flowering,0.3,0.28,0.12,18.9,0
2025-01-08 05:00:00,0.234,17.07,0.64,6.87,29.8,2.0,0.0,vegetative,0.3,0.28,0.12,13.9,0
2025-01-08 06:00:00,0.231,25.13,0.77,6.42,28.7,1.4,1.2,vegetative,0.3,0.28,0.12,14.7,0
2025-01-08 07:00:00,0.253,21.76,0.63,7.07,28.6,1.1,0.0,vegetative,0.3,0.28,0.12,8.1,0
2025-01-08 08:00:00,0.221,17.06,0.6,6.44,22.7,0.2,0.8,vegetative,0.6,0.32,0.14,59.7,1
2025-01-08 09:00:00,0.278,33.2,0.69,6.75,33.2,1.5,0.1,flowering,0.3,0.28,0.12,0.6,0
2025-01-08 10:00:00,0.209,24.38,0.63,7.08,30.4,0.4,1.1,vegetative,0.6,0.32,0.14,66.4,1
2025-01-08 11:00:00,0.329,21.23,0.55,6.54,22.1,5.1,2.2,vegetative,0.3,0.28,0.12,-14.6,0
2025-01-08 12:00:00,0.245,29.08,0.68,6.09,38.3,1.1,3.1,vegetative,0.3,0.28,0.12,10.5,0
2025-01-08 13:00:00,0.186,31.21,0.71,6.53,26.9,1.8,0.8,vegetative,0.6,0.32,0.14,80.6,1
2025-01-08 14:00:00,0.177,21.27,0.83,6.32,21.3,1.3,0.8,vegetative,0.6,0.32,0.14,85.7,1
2025-01-08 15:00:00,0.239,23.74,0.79,6.42,24.2,0.9,0.0,maturity,0.3,0.28,0.12,12.2,0
2025-01-08 16:00:00,0.211,17.06,0.82,7.1,20.5,1.3,1.5,maturity,0.3,0.28,0.12,20.7,0
2025-01-08 17:00:00,0.249,21.26,0.77,6.13,34.8,0.9,3.1,vegetative,0.3,0.28,0.12,9.4,0
2025-01-08 18:00:00,0.239,21.0,0.73,6.59,33.4,0.1,0.6,flowering,0.6,0.32,0.14,48.6,0
2025-01-08 19:00:00,0.217,22.92,0.58,6.24,31.7,0.4,1.6,flowering,0.3,0.28,0.12,18.9,0
2025-01-08 20:00:00,0.186,23.66,0.71,6.41,30.8,0.4,1.6,vegetative,0.3,0.28,0.12,28.2,1
2025-01-08 21:00:00,0.159,24.8,0.76,6.72,34.2,1.3,1.5,flowering,0.3,0.28,0.12,36.2,1
2025-01-08 22:00:00,0.202,23.19,0.85,6.6,26.8,0.9,1.4,maturity,0.3,0.28,0.12,23.4,0
2025-01-08 23:00:00,0.254,15.95,0.77,6.43,30.1,0.9,0.2,flowering,0.3,0.28,0.12,7.7,0
2025-01-09 00:00:00,0.229,17.31,0.82,6.31,23.9,1.9,1.4,flowering,0.3,0.28,0.12,15.4,0
2025-01-09 01:00:00,0.17,19.27,0.6,6.59,27.2,0.7,0.2,flowering,0.3,0.28,0.12,32.9,1
2025-01-09 02:00:00,0.227,20.59,0.67,7.01,30.3,0.2,1.2,flowering,0.3,0.28,0.12,15.9,0
2025-01-09 03:00:00,0.235,27.25,0.74,6.23,12.6,0.0,0.0,flowering,0.6,0.32,0.14,50.8,0
2025-01-09 04:00:00,0.185,16.19,0.82,7.07,24.9,0.2,2.5,flowering,0.3,0.28,0.12,28.6,1
2025-01-09 05:00:00,0.226,20.21,0.69,6.86,28.8,0.0,1.8,vegetative,0.3,0.28,0.12,16.2,0
2025-01-09 06:00:00,0.222,26.77,0.69,6.91,27.6,0.3,1.1,vegetative,0.6,0.32,0.14,58.6,1
2025-01-09 07:00:00,0.174,20.5,0.77,6.59,25.7,1.0,0.1,flowering,0.3,0.28,0.12,31.7,1
2025-01-09 08:00:00,0.234,24.3,0.59,6.85,30.9,0.2,1.7,vegetative,0.3,0.28,0.12,13.7,0
2025-01-09 09:00:00,0.242,21.3,0.86,6.2,24.5,0.1,2.1,vegetative,0.6,0.32,0.14,46.5,0
2025-01-09 10:00:00,0.263,23.28,0.61,6.3,21.9,3.5,1.2,vegetative,0.3,0.28,0.12,5.0,0
2025-01-09 11:00:00,0.262,20.86,0.51,6.73,33.9,5.8,3.7,vegetative,0.6,0.32,0.14,34.7,0
2025-01-09 12:00:00,0.165,25.34,0.7,6.59,33.2,1.0,0.1,vegetative,0.6,0.32,0.14,93.1,1
2025-01-09 13:00:00,0.182,14.27,0.87,6.46,25.0,0.1,1.2,vegetative,0.3,0.28,0.12,29.3,1
2025-01-09 14:00:00,0.241,20.18,0.76,5.75,27.7,1.7,0.7,flowering,0.3,0.28,0.12,11.8,0
2025-01-09 15:00:00,0.241,23.48,0.78,6.37,32.2,0.8,0.2,maturity,0.3,0.28,0.12,11.8,0
2025-01-09 16:00:00,0.241,24.67,0.7,6.15,28.2,0.2,1.1,maturity,0.6,0.32,0.14,47.6,0
2025-01-09 17:00:00,0.35,29.46,0.68,6.65,30.7,0.9,1.6,maturity,0.3,0.28,0.12,-21.0,0
2025-01-09 18:00:00,0.243,20.04,0.55,6.44,30.4,0.0,0.2,maturity,0.6,0.32,0.14,46.3,0
2025-01-09 19:00:00,0.265,29.4,0.47,6.31,26.4,3.6,1.6,flowering,0.6,0.32,0.14,32.7,0
2025-01-09 20:00:00,0.258,18.7,0.72,7.29,30.6,1.7,0.1,vegetative,0.3,0.28,0.12,6.6,0
2025-01-09 21:00:00,0.246,28.64,0.83,6.81,23.2,0.3,0.9,vegetative,0.3,0.28,0.12,10.2,0
2025-01-09 22:00:00,0.207,26.09,0.73,6.82,30.0,0.5,1.6,vegetative,0.3,0.28,0.12,21.8,0
2025-01-09 23:00:00,0.25,17.43,0.76,7.16,27.6,0.5,0.2,flowering,0.3,0.28,0.12,8.9,0
