N,P,K,pH,EC,soil_temp_C,soil_moisture,crop,growth_stage,recommended_fertilizer
39,22,17,6.44,0.8,39,51,sugarcane,maturity,NPK 12-32-16
47,31,45,5.6,0.61,36,38,maize,flowering,NPK 10-26-26
66,10,47,7.26,0.99,31,46,sugarcane,vegetative,NPK 19-19-19
26,11,48,6.39,0.88,33,51,groundnut,vegetative,NPK 19-19-19
63,25,28,6.68,1.19,31,44,rice,vegetative,Urea
27,24,23,5.78,1.32,37,47,wheat,maturity,NPK 12-32-16
66,22,32,5.51,1.04,19,59,wheat,flowering,NPK 10-26-26
54,25,30,5.99,0.53,26,46,groundnut,maturity,MOP
33,26,14,6.91,1.12,20,33,sugarcane,maturity,NPK 12-32-16
36,30,29,5.7,0.56,23,58,soybean,flowering,NPK 14-35-14
55,16,30,7.32,1.12,22,21,groundnut,flowering,NPK 14-35-14
69,33,17,5.93,1.19,31,36,sugarcane,maturity,NPK 12-32-16
59,26,27,5.91,0.7,32,20,groundnut,flowering,NPK 14-35-14
23,16,19,5.86,1.32,35,51,rice,maturity,MOP
21,22,29,5.53,1.41,34,38,groundnut,vegetative,NPK 19-19-19
25,14,23,7.04,1.31,26,33,groundnut,flowering,NPK 14-35-14
61,26,21,7.25,0.81,36,50,maize,vegetative,Single Super Phosphate
23,12,18,6.73,1.09,26,37,sugarcane,flowering,NPK 10-26-26
48,16,12,5.88,1.41,33,33,rice,maturity,NPK 12-32-16
37,26,47,6.07,0.82,23,33,wheat,maturity,NPK 12-32-16
45,16,32,6.45,1.32,25,43,soybean,maturity,NPK 12-32-16
63,30,48,7.41,0.51,20,24,soybean,maturity,MOP
53,10,35,5.99,0.5,39,35,sugarcane,maturity,NPK 12-32-16
29,26,36,6.96,1.26,22,24,groundnut,maturity,MOP
55,26,18,6.38,1.26,24,32,maize,flowering,NPK 10-26-26
33,20,28,6.1,1.29,18,35,groundnut,flowering,DAP
50,34,40,6.41,1.43,39,34,sugarcane,vegetative,Single Super Phosphate
67,12,41,5.64,0.62,38,50,soybean,flowering,DAP
34,24,18,7.1,0.73,21,24,soybean,flowering,NPK 14-35-14
27,30,44,5.99,1.4,33,40,groundnut,vegetative,NPK 19-19-19
33,20,18,6.95,0.68,31,49,groundnut,vegetative,Urea
42,25,35,5.64,1.18,18,42,groundnut,maturity,NPK 12-32-16
59,34,22,7.41,1.03,21,57,wheat,vegetative,Single Super Phosphate
40,31,20,5.89,0.58,27,48,maize,vegetative,NPK 19-19-19
35,18,23,7.27,0.79,28,32,maize,flowering,NPK 10-26-26
64,33,46,7.12,1.02,24,51,soybean,maturity,MOP
37,33,15,7.44,1.35,21,46,soybean,vegetative,Urea
66,10,47,6.46,1.21,18,53,sugarcane,maturity,MOP
43,34,39,6.95,1.12,18,52,sugarcane,maturity,NPK 12-32-16
45,31,24,6.24,1.0,34,23,wheat,vegetative,Single Super Phosphate
44,25,34,5.87,0.8,27,37,soybean,vegetative,NPK 19-19-19
64,18,30,6.39,0.62,22,25,sugarcane,vegetative,Single Super Phosphate
60,28,48,5.83,0.91,24,47,wheat,vegetative,Urea
48,21,35,7.46,0.53,25,46,maize,maturity,MOP
34,28,27,5.69,0.71,19,45,soybean,flowering,NPK 14-35-14
64,31,44,6.68,0.93,26,39,rice,maturity,NPK 12-32-16
20,18,23,6.75,0.92,21,32,soybean,maturity,MOP
44,16,45,6.58,0.54,29,47,sugarcane,maturity,NPK 12-32-16
26,23,18,6.82,1.09,28,53,soybean,vegetative,NPK 19-19-19
28,28,22,5.73,1.05,22,42,rice,vegetative,Urea
43,28,42,6.61,0.58,29,29,soybean,flowering,DAP
20,11,40,6.07,1.44,38,49,sugarcane,flowering,NPK 14-35-14
63,18,24,7.38,0.6,21,41,maize,flowering,DAP
27,22,42,7.02,1.35,30,24,sugarcane,maturity,NPK 12-32-16
43,24,13,7.45,0.5,39,28,wheat,flowering,DAP
30,12,26,5.58,1.38,18,23,sugarcane,maturity,NPK 12-32-16
36,20,22,6.07,0.52,35,20,wheat,vegetative,Urea
27,30,45,5.89,1.26,21,53,soybean,maturity,MOP
54,23,15,5.52,0.86,21,45,wheat,vegetative,NPK 19-19-19
54,34,22,5.98,1.24,25,37,groundnut,vegetative,Single Super Phosphate
52,17,40,6.86,0.9,37,35,soybean,flowering,NPK 14-35-14
24,27,13,5.96,0.57,23,42,wheat,vegetative,NPK 19-19-19
61,28,27,6.52,1.27,21,55,sugarcane,flowering,NPK 14-35-14
58,25,24,7.28,0.57,21,45,rice,flowering,NPK 14-35-14
60,11,48,6.89,1.42,28,21,soybean,flowering,NPK 10-26-26
47,17,28,6.29,0.55,26,24,wheat,maturity,NPK 12-32-16
26,31,32,6.24,0.98,31,48,rice,flowering,NPK 14-35-14
28,15,30,6.41,1.22,21,23,wheat,flowering,DAP
27,21,18,5.85,0.89,30,54,wheat,vegetative,Single Super Phosphate
31,24,49,6.77,0.72,23,41,wheat,maturity,NPK 12-32-16
53,34,19,6.23,1.26,30,27,sugarcane,flowering,DAP
52,17,24,7.2,1.28,20,40,wheat,flowering,NPK 10-26-26
67,13,48,7.01,1.42,24,27,rice,flowering,DAP
42,24,13,6.72,0.88,18,24,groundnut,vegetative,Urea
43,29,22,6.23,1.01,28,40,wheat,vegetative,Urea
56,34,35,5.92,0.86,19,46,groundnut,vegetative,NPK 19-19-19
54,26,17,7.05,0.76,22,57,maize,flowering,NPK 14-35-14
63,22,37,6.47,1.25,39,24,soybean,flowering,NPK 14-35-14
59,27,18,5.95,0.84,31,40,sugarcane,flowering,DAP
41,11,30,5.89,0.93,30,27,maize,flowering,NPK 14-35-14
46,22,17,5.83,0.9,33,41,maize,flowering,NPK 10-26-26
54,22,40,7.05,1.21,32,37,rice,vegetative,NPK 19-19-19
20,31,13,5.96,1.42,20,23,rice,flowering,NPK 10-26-26
54,24,30,6.55,1.17,23,23,groundnut,maturity,NPK 12-32-16
56,29,15,6.4,0.97,26,56,groundnut,flowering,NPK 14-35-14
66,19,17,6.66,1.28,20,34,sugarcane,vegetative,Urea
33,12,48,7.25,1.14,30,57,sugarcane,flowering,DAP
22,28,39,7.24,0.56,30,46,soybean,maturity,MOP
20,12,41,6.4,0.6,39,40,wheat,flowering,NPK 10-26-26
24,31,18,5.53,0.54,24,23,sugarcane,maturity,MOP
45,23,20,6.35,0.96,22,30,sugarcane,maturity,MOP
33,17,36,6.71,1.33,25,38,groundnut,vegetative,Single Super Phosphate
58,32,44,6.62,0.81,25,38,wheat,maturity,NPK 12-32-16
46,13,12,6.8,0.88,39,46,soybean,flowering,NPK 14-35-14
28,29,17,5.81,1.41,24,59,rice,maturity,MOP
34,20,29,6.79,1.34,36,47,soybean,flowering,NPK 14-35-14
34,20,21,5.87,1.17,24,24,wheat,flowering,DAP
45,20,39,7.0,0.77,21,44,rice,flowering,NPK 10-26-26
61,11,22,6.18,0.62,27,22,rice,flowering,DAP
32,26,44,6.92,0.52,30,45,rice,vegetative,Single Super Phosphate
51,18,12,5.6,0.61,21,29,soybean,flowering,NPK 10-26-26
58,11,24,6.32,0.79,36,43,groundnut,vegetative,NPK 19-19-19
68,33,48,6.91,1.05,27,48,wheat,maturity,NPK 12-32-16
51,24,31,5.95,0.56,24,26,soybean,flowering,NPK 10-26-26
23,25,12,7.09,0.64,22,42,soybean,maturity,MOP
49,34,14,6.76,0.68,20,46,maize,vegetative,Single Super Phosphate
56,13,29,6.68,1.13,39,28,sugarcane,flowering,NPK 10-26-26
42,17,25,6.21,1.12,39,22,soybean,flowering,NPK 14-35-14
58,18,42,6.46,1.05,39,32,maize,vegetative,NPK 19-19-19
64,14,38,6.69,0.75,19,25,groundnut,maturity,MOP
34,25,28,6.44,0.87,28,57,groundnut,vegetative,NPK 19-19-19
62,22,40,6.9,0.6,27,40,wheat,maturity,MOP
48,16,47,6.37,0.73,30,38,maize,maturity,MOP
55,29,48,5.9,1.4,24,44,soybean,maturity,NPK 12-32-16
32,26,37,5.93,1.48,27,58,wheat,flowering,DAP
51,12,28,5.51,1.15,21,23,maize,vegetative,Single Super Phosphate
26,14,33,6.1,1.42,39,41,soybean,flowering,NPK 14-35-14
41,28,36,7.0,1.14,37,24,wheat,vegetative,Urea
47,21,13,7.09,0.53,33,20,wheat,maturity,MOP
21,16,33,5.9,1.5,37,36,sugarcane,flowering,NPK 10-26-26
61,18,16,7.42,0.6,23,28,groundnut,flowering,NPK 14-35-14
64,15,15,6.5,1.18,26,28,soybean,flowering,NPK 14-35-14
25,26,47,7.33,0.75,30,43,sugarcane,maturity,NPK 12-32-16
47,25,17,6.91,0.89,24,29,wheat,vegetative,Urea
47,32,32,6.94,1.15,35,39,wheat,maturity,MOP
63,12,24,5.67,0.94,31,36,maize,flowering,NPK 14-35-14
63,30,48,5.94,0.75,39,32,sugarcane,flowering,NPK 10-26-26
39,13,36,5.52,0.83,22,48,rice,maturity,MOP
49,19,37,6.93,0.84,39,55,soybean,flowering,NPK 10-26-26
30,14,31,6.19,1.46,30,42,groundnut,flowering,NPK 10-26-26
47,30,44,7.07,1.3,25,46,sugarcane,vegetative,Single Super Phosphate
44,31,25,6.18,0.96,32,37,wheat,vegetative,NPK 19-19-19
58,19,47,7.14,0.7,36,37,maize,vegetative,Urea
52,21,28,5.76,1.31,26,28,soybean,vegetative,NPK 19-19-19
20,19,32,5.85,0.66,23,22,groundnut,vegetative,NPK 19-19-19
46,22,27,6.18,0.71,31,26,soybean,vegetative,NPK 19-19-19
32,20,27,6.32,0.87,27,34,maize,flowering,DAP
60,31,31,6.2,1.38,26,49,wheat,flowering,DAP
22,25,40,7.03,0.63,34,28,groundnut,vegetative,Single Super Phosphate
58,17,39,5.69,0.62,30,46,rice,maturity,NPK 12-32-16
25,17,19,6.2,0.99,34,55,maize,vegetative,Urea
27,34,35,7.17,0.78,36,37,rice,flowering,NPK 10-26-26
46,17,14,5.63,1.07,30,50,sugarcane,maturity,NPK 12-32-16
28,22,36,7.38,0.95,26,36,soybean,maturity,MOP
56,11,30,7.47,0.93,18,25,groundnut,maturity,NPK 12-32-16
52,21,44,5.68,0.61,18,58,wheat,flowering,DAP
61,19,13,6.08,0.64,22,44,rice,maturity,MOP
63,21,26,6.24,1.32,25,57,wheat,flowering,NPK 14-35-14
43,20,33,7.05,1.39,35,57,sugarcane,flowering,NPK 10-26-26
34,24,21,6.69,0.73,21,50,rice,vegetative,NPK 19-19-19
51,25,29,6.79,0.61,39,48,wheat,flowering,DAP
51,26,33,7.02,0.55,18,59,wheat,maturity,NPK 12-32-16
43,11,38,5.74,1.11,32,28,sugarcane,flowering,DAP
60,27,24,7.17,1.22,37,20,maize,flowering,NPK 10-26-26
68,21,44,6.91,0.87,21,35,groundnut,vegetative,Urea
68,28,16,6.65,1.18,26,57,sugarcane,vegetative,NPK 19-19-19
31,32,37,7.28,1.21,39,42,rice,flowering,NPK 14-35-14
58,27,24,6.9,1.44,37,27,rice,flowering,DAP
21,26,38,5.9,0.56,27,31,soybean,flowering,NPK 14-35-14
22,15,25,6.36,0.69,32,29,wheat,vegetative,Single Super Phosphate
68,34,35,6.49,0.57,20,35,groundnut,vegetative,Single Super Phosphate
56,24,14,5.61,1.37,19,43,rice,maturity,MOP
68,12,41,7.41,1.29,39,58,maize,maturity,MOP
36,15,46,5.76,1.07,22,27,maize,maturity,NPK 12-32-16
68,12,25,6.89,0.58,18,30,sugarcane,maturity,MOP
21,10,23,6.51,0.77,28,45,rice,vegetative,NPK 19-19-19
21,22,39,5.55,0.8,29,26,groundnut,vegetative,Urea
47,30,40,7.35,1.06,20,34,groundnut,flowering,NPK 10-26-26
42,23,28,7.2,0.76,33,34,rice,maturity,MOP
56,22,32,6.55,0.57,31,22,soybean,flowering,NPK 10-26-26
51,13,34,5.96,1.23,29,35,soybean,flowering,DAP
52,16,31,5.74,0.8,37,34,soybean,vegetative,Urea
20,31,22,6.23,0.95,33,44,rice,flowering,NPK 10-26-26
38,19,45,6.01,0.63,38,52,sugarcane,flowering,NPK 14-35-14
21,16,21,6.51,1.3,25,33,groundnut,vegetative,Single Super Phosphate
63,30,21,7.43,1.07,34,43,sugarcane,vegetative,NPK 19-19-19
45,24,17,6.65,1.4,34,30,sugarcane,vegetative,Single Super Phosphate
51,24,47,7.28,1.0,24,22,sugarcane,vegetative,Single Super Phosphate
25,13,35,6.8,1.44,32,28,maize,maturity,MOP
51,32,23,6.45,1.39,26,25,rice,maturity,NPK 12-32-16
23,32,34,7.21,1.08,21,50,wheat,maturity,MOP
30,15,38,6.44,1.43,25,35,rice,flowering,NPK 14-35-14
36,33,48,7.24,0.82,27,30,sugarcane,maturity,MOP
57,29,17,6.08,0.87,32,36,maize,vegetative,NPK 19-19-19
43,14,12,5.76,0.55,35,22,maize,maturity,NPK 12-32-16
24,29,17,7.21,1.09,31,38,rice,vegetative,Single Super Phosphate
53,21,33,6.67,1.22,22,43,wheat,maturity,MOP
25,10,35,7.28,1.27,26,27,sugarcane,maturity,NPK 12-32-16
41,17,36,7.38,0.65,30,55,maize,vegetative,Single Super Phosphate
30,10,26,5.61,0.94,36,59,sugarcane,vegetative,Urea
67,14,37,6.5,0.68,28,21,sugarcane,flowering,NPK 10-26-26
35,31,19,6.25,1.16,29,42,groundnut,flowering,NPK 14-35-14
52,15,35,6.75,0.66,20,59,sugarcane,flowering,DAP
28,30,49,7.09,1.4,19,49,soybean,maturity,NPK 12-32-16
25,12,17,6.06,0.73,39,44,groundnut,maturity,MOP
35,24,46,6.61,0.79,32,26,sugarcane,vegetative,Urea
48,14,12,6.92,1.35,22,47,sugarcane,vegetative,NPK 19-19-19
22,33,47,5.77,0.96,24,36,wheat,flowering,NPK 14-35-14
39,23,23,7.13,0.52,21,51,groundnut,vegetative,Single Super Phosphate
55,27,49,6.71,0.99,22,20,groundnut,maturity,MOP
38,25,22,7.4,0.58,33,46,wheat,vegetative,NPK 19-19-19
45,15,23,6.18,1.49,32,55,soybean,vegetative,NPK 19-19-19
22,34,18,5.72,1.09,33,26,groundnut,vegetative,Single Super Phosphate
38,33,22,6.51,0.76,21,22,soybean,vegetative,Urea
39,23,47,5.67,1.06,23,49,sugarcane,vegetative,Single Super Phosphate
51,33,42,7.44,0.58,35,20,maize,flowering,NPK 10-26-26
26,17,44,5.58,1.3,20,53,maize,flowering,NPK 10-26-26
60,16,24,7.01,1.43,39,57,rice,maturity,MOP
52,17,29,6.55,1.37,22,55,maize,flowering,NPK 14-35-14
59,22,35,6.24,0.84,19,52,maize,vegetative,NPK 19-19-19
58,15,20,5.63,0.83,33,35,wheat,flowering,DAP
37,27,42,6.74,0.54,23,57,rice,maturity,NPK 12-32-16
59,11,21,6.67,1.15,32,30,rice,flowering,NPK 10-26-26
20,17,13,6.06,1.03,35,27,wheat,maturity,MOP
30,20,49,7.32,0.96,23,20,maize,maturity,MOP
47,10,26,6.11,1.41,30,33,maize,maturity,MOP
44,31,14,6.4,0.67,30,49,rice,vegetative,Urea
69,15,42,6.59,0.51,18,40,maize,maturity,NPK 12-32-16
42,25,17,5.7,0.57,33,40,rice,flowering,NPK 10-26-26
50,29,14,7.36,0.72,21,53,maize,flowering,DAP
49,21,22,6.25,0.53,34,57,sugarcane,flowering,DAP
61,20,26,5.66,1.0,35,45,wheat,maturity,MOP
54,19,39,6.27,0.81,33,33,groundnut,maturity,MOP
26,12,21,6.7,0.68,18,59,soybean,vegetative,NPK 19-19-19
35,22,49,6.53,1.25,23,54,sugarcane,maturity,MOP
45,12,18,6.89,0.7,28,37,maize,flowering,NPK 10-26-26
67,24,26,5.61,1.19,23,39,soybean,vegetative,Urea
68,25,29,6.07,0.85,34,28,groundnut,flowering,NPK 10-26-26
21,22,29,7.14,1.01,21,52,sugarcane,vegetative,Urea
20,26,35,5.66,1.43,31,23,groundnut,maturity,MOP
67,12,13,7.21,0.54,31,23,wheat,vegetative,Urea
31,29,31,5.68,1.0,37,35,soybean,maturity,MOP
24,20,45,7.17,1.35,25,45,groundnut,maturity,NPK 12-32-16
56,30,37,6.22,1.09,39,25,soybean,flowering,DAP
51,28,18,6.72,0.78,19,56,wheat,maturity,NPK 12-32-16
28,31,49,5.81,0.9,22,41,groundnut,maturity,NPK 12-32-16
60,20,41,5.63,1.18,21,58,sugarcane,maturity,MOP
54,25,16,5.93,1.39,27,26,soybean,flowering,NPK 10-26-26
38,30,22,5.76,0.54,37,49,groundnut,maturity,MOP
67,12,12,6.12,0.57,38,29,wheat,flowering,NPK 14-35-14
35,31,45,6.53,0.83,20,34,groundnut,vegetative,Single Super Phosphate
22,15,12,6.68,0.73,33,25,groundnut,flowering,NPK 10-26-26
39,23,30,7.08,0.76,27,43,sugarcane,flowering,NPK 14-35-14
43,33,13,6.81,0.72,32,21,maize,maturity,NPK 12-32-16
52,27,32,6.72,0.7,21,59,rice,flowering,DAP
43,26,31,6.32,0.63,18,34,maize,vegetative,NPK 19-19-19
30,13,34,6.45,1.43,39,40,maize,flowering,DAP
68,32,32,6.33,0.64,32,37,rice,maturity,NPK 12-32-16
27,24,35,7.18,0.7,27,24,groundnut,vegetative,Single Super Phosphate
55,20,15,5.96,0.75,37,44,maize,maturity,NPK 12-32-16
57,12,23,5.51,1.43,39,55,maize,maturity,MOP
59,12,33,6.8,1.26,35,29,wheat,flowering,NPK 10-26-26
39,25,31,5.9,1.29,33,42,wheat,maturity,MOP
54,14,29,7.28,0.6,38,43,sugarcane,vegetative,Urea
67,30,12,7.22,1.34,26,29,soybean,vegetative,Urea
44,19,41,5.65,0.91,36,25,groundnut,vegetative,Single Super Phosphate
54,28,44,5.71,0.76,34,32,sugarcane,vegetative,NPK 19-19-19
44,34,35,6.49,1.08,27,40,wheat,flowering,NPK 10-26-26
48,13,25,6.72,1.32,36,51,wheat,vegetative,Urea
37,28,47,6.05,1.28,25,34,rice,flowering,NPK 14-35-14
65,20,16,6.93,1.39,36,21,rice,maturity,MOP
37,11,22,6.69,1.43,22,34,wheat,maturity,MOP
21,19,35,6.15,0.74,19,36,maize,flowering,NPK 10-26-26
54,20,42,5.55,0.92,32,39,sugarcane,maturity,MOP
35,34,24,7.0,0.51,34,25,wheat,maturity,NPK 12-32-16
60,29,27,5.93,1.38,27,34,groundnut,vegetative,NPK 19-19-19
55,25,35,7.17,0.65,38,36,wheat,maturity,MOP
52,28,24,6.34,1.36,38,45,rice,maturity,NPK 12-32-16
23,32,35,6.65,0.83,39,41,sugarcane,flowering,DAP
52,33,37,7.25,0.87,19,28,sugarcane,vegetative,Single Super Phosphate
33,20,13,7.23,0.54,26,31,soybean,maturity,NPK 12-32-16
40,23,27,6.24,0.83,19,41,wheat,maturity,NPK 12-32-16
67,11,49,5.92,1.39,35,42,soybean,flowering,DAP
39,32,12,7.05,0.53,29,56,rice,maturity,MOP
27,14,22,6.37,0.91,32,33,soybean,vegetative,NPK 19-19-19
26,14,46,5.88,0.53,38,43,maize,vegetative,Urea
22,28,40,7.31,0.87,37,27,wheat,vegetative,Single Super Phosphate
36,30,48,5.9,0.67,23,45,wheat,flowering,NPK 10-26-26
52,21,28,5.55,0.75,35,51,sugarcane,vegetative,Single Super Phosphate
67,27,39,5.54,1.38,30,47,soybean,vegetative,Urea
31,13,40,6.74,0.94,21,51,sugarcane,vegetative,Single Super Phosphate
41,31,14,6.82,0.77,29,41,groundnut,vegetative,Urea
41,26,21,6.12,1.09,26,28,soybean,vegetative,Urea
65,19,25,6.14,0.64,19,22,soybean,vegetative,Single Super Phosphate
49,29,23,6.18,0.76,33,44,rice,flowering,NPK 10-26-26
57,15,41,6.86,1.05,18,58,soybean,vegetative,NPK 19-19-19
57,34,43,5.62,0.74,21,31,sugarcane,maturity,NPK 12-32-16
64,23,43,7.36,1.18,32,48,groundnut,flowering,NPK 14-35-14
27,20,43,5.95,0.99,37,22,soybean,maturity,NPK 12-32-16
46,20,37,7.5,1.27,18,42,soybean,maturity,NPK 12-32-16
46,27,12,5.84,1.45,37,42,wheat,vegetative,Single Super Phosphate
53,32,13,7.04,0.62,32,37,wheat,maturity,NPK 12-32-16
40,31,28,5.95,0.83,20,30,groundnut,maturity,MOP
49,27,41,5.66,0.82,30,55,wheat,maturity,MOP
52,33,18,7.25,0.65,35,45,maize,vegetative,NPK 19-19-19
47,32,38,7.22,1.31,30,27,wheat,vegetative,NPK 19-19-19
66,20,20,6.31,1.26,27,47,maize,vegetative,Urea
52,30,33,6.9,0.98,37,37,groundnut,flowering,NPK 14-35-14
24,21,45,6.61,1.04,24,32,maize,vegetative,NPK 19-19-19
67,14,12,7.21,0.56,25,55,groundnut,vegetative,NPK 19-19-19
38,32,20,6.13,1.06,18,59,sugarcane,maturity,NPK 12-32-16
23,18,31,6.55,1.29,35,31,wheat,vegetative,NPK 19-19-19
54,34,30,6.47,1.07,29,41,soybean,maturity,NPK 12-32-16
68,18,47,6.21,0.77,35,21,rice,vegetative,NPK 19-19-19
36,31,15,7.28,1.17,29,59,soybean,vegetative,NPK 19-19-19
63,19,20,5.83,0.86,37,47,wheat,vegetative,Single Super Phosphate
47,31,33,5.8,1.04,26,32,soybean,vegetative,Urea
49,28,29,6.65,0.99,19,52,wheat,vegetative,Urea
48,10,23,6.81,0.88,31,22,wheat,vegetative,Single Super Phosphate
65,16,20,5.89,1.22,21,53,soybean,vegetative,NPK 19-19-19
25,13,17,6.28,1.38,32,42,maize,maturity,MOP
54,10,30,7.39,0.51,34,51,sugarcane,flowering,NPK 10-26-26
60,24,18,5.99,1.43,36,39,sugarcane,flowering,NPK 10-26-26
56,17,27,6.84,1.01,23,47,sugarcane,vegetative,NPK 19-19-19
43,21,16,6.98,1.2,26,27,sugarcane,flowering,NPK 10-26-26
48,31,27,6.4,1.36,34,22,rice,maturity,NPK 12-32-16
68,31,12,7.38,0.97,32,49,groundnut,maturity,MOP
65,27,48,6.97,1.33,22,44,wheat,maturity,MOP
50,24,30,6.42,0.68,35,49,rice,flowering,DAP
54,26,48,6.64,0.66,21,48,sugarcane,flowering,NPK 10-26-26
52,23,28,6.89,1.16,38,49,sugarcane,flowering,NPK 14-35-14
40,23,37,6.68,1.37,19,53,soybean,vegetative,Single Super Phosphate
51,27,33,7.26,1.39,36,44,sugarcane,maturity,NPK 12-32-16
42,29,19,6.21,1.14,22,36,wheat,maturity,NPK 12-32-16
52,27,44,6.1,1.03,21,43,sugarcane,vegetative,Single Super Phosphate
22,25,13,5.93,0.83,22,57,sugarcane,flowering,NPK 10-26-26
37,10,41,5.58,1.48,36,47,rice,maturity,NPK 12-32-16
44,32,31,5.59,0.82,30,52,wheat,flowering,NPK 14-35-14
61,20,29,7.24,1.24,33,55,maize,vegetative,Urea
50,24,21,6.86,1.03,29,26,soybean,flowering,NPK 10-26-26
22,21,35,6.82,1.11,26,42,maize,vegetative,Urea
59,17,15,6.73,0.89,33,45,groundnut,flowering,DAP
65,31,48,7.2,1.46,31,33,rice,vegetative,Urea
43,29,15,6.46,1.07,39,47,sugarcane,maturity,NPK 12-32-16
69,15,24,7.24,1.44,18,43,soybean,vegetative,Urea
51,12,36,6.22,0.51,37,26,groundnut,flowering,NPK 14-35-14
66,33,24,7.35,1.07,38,55,groundnut,maturity,MOP
41,22,29,6.9,1.22,21,58,wheat,flowering,NPK 10-26-26
42,22,35,6.01,1.25,26,34,soybean,flowering,NPK 10-26-26
21,11,13,6.63,1.4,36,22,groundnut,vegetative,Urea
46,14,44,6.57,0.5,31,21,rice,vegetative,NPK 19-19-19
61,26,30,5.78,0.5,39,26,sugarcane,flowering,NPK 14-35-14
21,15,20,6.68,0.97,29,35,rice,vegetative,Single Super Phosphate
45,11,39,6.13,0.53,21,40,groundnut,flowering,NPK 14-35-14
36,13,46,5.6,1.47,24,28,wheat,vegetative,NPK 19-19-19
59,31,21,7.4,0.72,34,31,maize,vegetative,Single Super Phosphate
52,20,12,6.78,0.97,18,48,sugarcane,flowering,NPK 10-26-26
28,17,32,7.25,0.56,31,43,sugarcane,maturity,NPK 12-32-16
62,21,20,6.85,1.02,32,52,rice,vegetative,Urea
67,17,26,6.21,0.88,29,33,rice,flowering,NPK 14-35-14
58,20,46,6.53,0.54,29,37,rice,maturity,MOP
48,31,16,6.85,0.84,23,24,groundnut,vegetative,Single Super Phosphate
